в Москве; в Москву|in Moscow; to Moscow
p вскрою, вскроешь
p выпишу, выпишешь
p выпрямилюсь, выпрямишься
p выхвачу, выхватишь
i горюю, горюешь
nom pl горожане, g pl горожан
двоюродный брат cousin; двоюродная бабушка great-aunt; двоюродный дед great-uncle, grand-uncle
f
i душу, душишь
f
g sg жука
p заварю, заваришь
p заведусь, заведёшься, past завёлся, завелась; Мотор завёлся The engine started
глушить i/заглушать i
p загужу, загудишь
p задеру, задерёшь
i заимствую
f
f
g pl закусок
p past замёрз, замёрзла
(= запасной)
p заряжу, зарядишь
p застрелю, застрелишь
p заткну, заткнёшь
f
m
i истребляю; p истреблю, истребишь
в канун +g on the eve of sth
i кашляю
g sg колпака; ночной колпак nightcap
g pl колясок
nom pl комья, g pl комьев
i кошу, косишь
g pl кyлиc; за кулисами behind the scenes
g pl машинок; пишущая машинка typewriter
медикаменты medical supplies, drugs
f; pr sg на мели high and dry
g sg меча
nom pl мещане, g pl мещан
милостивый государь Dear Sir
g sg москвича
i мщу, мстишь
m
i past навис, нависла; p навяжу, навяжешь
p награжу, наградишь
накопится; накапливаться i/накопляться i
Все необходимые условия налицо All the essential conditions are present
i
f; pr sg на мели high and dry
= неужели
p обожгу, обожжёшь, обожгут, past обжёг, обожгла
p обменяемся;обменяться взглядами to exchange glances
оборонная промышленность defence industry
g pl оговорок; согласиться с оговорками to agree with reservations
p past озяб, озябла
i оскорбляю; p оскорблю, оскорбишь
p остыну, остынешь
p отворю, отворишь
f
i оформляю; p оформлю, оформишь
(p c-) to burn, scorch; (p o-) singe
i пасу, пасёшь, past пас, пасла
g sg пайка
p перевезу, перевезёшь, past перевёз, перевезла
p перевяжу, перевяжешь
p перехвачу, перехватишь
i
пищевая промышленность food industry
i бледнею, бледнеешь; p побледнею, побледнеешь
p побоюсь, побоишься
p повисну, повиснешь, past повис, повисла
i поддаюсь, поддаёшься
p подложу, подложишь
p покроюсь, покроешься
Северный полюс North Pole
(Мне) помнится I remember
p поправлюсь, поправишься
p поравняюсь
p постановлю, постановишь
p потружусь, потрудишься; Потрудитесь закрыть дверь Could I ask you to close the door?
g pl предпосылок
i преподаю, преподаёшь
i претендую
p приподнимусь, приподнимешься, past приподнялся, приподнялась
незаконное присвоение misappropriation
p пришью, пришьёшь
метод проб и ошибок trial and error
g pl пыток; Попытка не пытка It won’t hurt to try
p разгорится
p Простите, я не расслышала Sorry, I didn’t catch that
p рассужу, рассудишь
f
i расходую
g pl свечек
p свяжусь, свяжешься
m/f; nom pl сироты
m/f; nom pl сироты
i соплю, сопишь
i соревнуюсь
p Механизм сработал The mechanism worked
i сыплю, сыплешь
i тру, трёшь, past тёр, тёрла
f
i тороплю, торопишь
i трещит
f; g pl тростей
m
p улягусь, уляжешься, улягутся, past улёгся, улеглась
p уловлю, уловишь
p упущу, упустишь
усики small moustache
g pl устьев
f
i чередуюсь
i черчу, чертишь
i Она не числится в этом списке She’s not on this list
g шестисот
g pl шкатулок
g pl щёток
i экономлю, экономишь
g pl этикеток
f
g pl братишек
i вдохновляю
g pl ведьм
f
g pl вишен
p влечу, влетишь
i вожусь, водишься
p возобновлю, возобновишь
m
i воспроизвожу, воспроизводишь
p втяну, втянешь
p выжму, выжмешь
p высажу, высадишь
p высплюсь, выспишься
i вяжу, вяжешь
гуманитарные науки the Arts, humanities
g sg денька
g pl джинсов
i дружу, дружишь
g pl дырок
Есть желающие пойти в кино? Does anyone want to go to the cinema?
законченный мастер consummate master
p запечатлею, запечатлеешь
nom pl зёрнышки, g pl зёрнышек
f
p изгоню, изгонишь, f past изгнала
i измеряется
p израсходую
i/p иллюстрирую
i именую
m; g sg инвентаря
often pl капиталовложения
i качу, катишь
nom pl козы
m; g pl козырей
g pl коленок
колючая проволока barbed wire
g sg комара
i/p конфискую
nom pl концлагеря
g pl косточек
nom pl котята, g pl котят
i крашу, красишь; вы-/о-/по- р
g pl крошек
i кряхчу, кряхтишь
nom pl кузова
культ личности cult of personality
i лечусь, лечишься
g pl линеек
nom pl лоскуты, g pl лоскутов or nom pl лоскутья, g pl лоскутьев
g pl макушек; Ушки на макушке I’m all ears
i маневрирую
i мечу, метишь
g pl мещанок
no pl
g pl морщинок
p навалю, навалишь
p нагрею, нагреешь
= надо
поить i/напаивать i; i пою, поишь
выйти из обихода to go out of use
p оболью, обольёшь, f past облила
g pl обложек
с опаской nervously, cautiously
i отделяюсь
p перейму, переймёшь, past перенял, переняла, переняло
g pl пересадок
p переспрошу, переспросишь
i повинуюсь; повиноваться р (past only)
i повожу, поводишь
p подвешу, подвесишь
i подлежит; Это не подлежит сомнению This is indisputable
p подружусь, подружишься
p подскочу, подскочишь
(p) поинтересуюсь
n indecl
p попью, попьёшь, f past попила
p поспею, поспеешь
p посыплется
i
i щажу, щадишь; p пощажу, пощадишь
i предшествует
n pl; g pl прений
p привью, привьёшь, past привила
nom pl призы
p прикреплю, прикрепишь
p приучу, приучишь
g pl причёсок
i проповедую
p прорвусь, прорвёшься, past прорвался, прорвалась
p проре́зать, проре́жу, проре́жешь; прореза́ть i/проре́зывать i
p прославлю, прославишь
nom pl простыни, g pl простынь, d pl простыням
g pl птичек
Пускай говорит Let him speak
g sg пустыря
i
f разбойничья, n разбойничье
p разведусь, разведёшься, past развёлся, развелась
p разлечусь, разлетишься
p размещусь, разместишься
f
p разорвётся, past разорвался, разорвалась
i Курить не разрешается Smoking is not permitted
p расправлюсь, расправишься
p расцвету, расцветёшь, past расцвёл, расцвела
i/p ремонтирую
i робею, робеешь
i роюсь, роешься
nom pl седины
g семисот
p склоню, склонишь
мешать i/смешивать i
nom pl смолы
pr sg в спирте or в спирту, nom pl спирты
(also ставня) g pl ставней and ставен
p стемнеет
p сотру, сотрёшь, past стёр, стёрла
i суечусь, суетишься
g pl счётов
i топчусь, топчешься
g pl тренировок
g pl третей
g pl тучек
g pl удочек
i управляюсь
i характеризуюсь
p
i хлопочу, хлопочешь
i хриплю, хрипишь
i
f
f
i чернею, чернеешь
чёртова дюжина baker’s dozen
no pl; на чужбине in foreign parts
i шуршу, шуршишь
i агитирую
= или
i балуюсь
спиртные напитки alcoholic drinks
g sg башмака
g pl безделушек
f
i сношу, сносишь; p снесу, снесёшь, past снёс, снесла
i ближусь, близишься
i
g pl боеприпасов
g pl боен
Ей боязно She’s afraid
твёрдая валюта hard currency
пуститься вдогонку за кем-нибудь to rush off after s.o.
i Мне не верится, что ... I cannot believe that...
p устарею, устареешь
p взорвусь, взорвёшься
g pl взяток
p утону, утонешь; тонуть i/утопать i
p влеку, влечёшь, влекут, past влёк, влекла
f
p past воздвиг, воздвигла
i/p воздействую
p возмущу, возмутишь
p past воскрес, воскресла
предвыборная кампания election campaign
жить врозь to live apart
выборная должность elective office
p выбуду, выбудешь
p выживу, выживешь
p вымету, выметешь, past вымел
i выполняется
f
i гоняюсь
g pl гражданок
i греюсь, греешься
g sg дельца
f
no pl
g pl домен
Ей было досадно, что он опоздал She was annoyed that he came late
f
i деру, дерёшь, f past драла; разо- p/со- p
f
m, g pl дядек
f
f
nom pl жерла, g pl жерл
nom pl жернова
p забреду, забредёшь, past забрёл, забрела
p загорожу, загородишь
g pl задержек
p зазвенит
p залажу, заладишь
p залечу, залетишь
p зальюсь, зальёшься, past залился, залилась; залиться смехом to burst out laughing
p замаскирую
g pl западней
p заражу, заразишь
p зарежу, зарежешь
i заслоняю
p затворю, затворишь
p затеряюсь
m; nom pl зятья, g pl зятьёв
i издаётся
классовая борьба class struggle
g pl пятилеток
g pl чаек
nom pl кислоты
g sg австрийца
nom pl окорока
g sg красноармейца
вычислительная техника computers
i
g pl заготовок
f
f
f
воздушная трасса airway
f казачья, n казачье
g pl кухарок
выйти в эфир to go on the air
no pl
nom pl кителя
p обожду, обождёшь
(nom pl пропуска) pass, permit; (nom pl пропуски) blank, gap
осадки precipitation (rain, snow)
растительное масло vegetable oil
g pl ячеек
озимые winter crops
m; g sg хрусталя
nom pl плуги
nom pl очки, g pl очков; в очках wearing glasses
g sg рудника
nom pl хутора
товары широкого потребления consumer goods
световые полосы strips of light
nom pl руды
g pl бабок
g pl нар
g pl шестёрок
nom pl брусья, g pl брусьев
= даже
отчётный доклад report
g sg платежа
= пока
= батюшка
f
f
устный экзамен oral examination
g pl гармошек
= городской комитет
g pl накидок
p отставлю, отставишь
m
i прошусь, просишься
g sg штыка
валовой доход gross income; валовой национальный продукт gross national product
nom pl голы, g pl голов
g sg козырька; взять под козырёк to salute
nom pl вожжи, g pl вожжей
опрос общественного мнения opinion poll
g pl перевозок
nom pl семечки, g pl семечек
Нам суждено было встретиться We were fated to meet
m
g pl жилеток
f
i изготовляется
лишение свободы imprisonment
m
Это чревато опасностью This is fraught with danger
f
g pl конюшен
g pl лягушек
pr sg на мысе or на мысу
i/p обследую
g sg плота
i
p -творю, -творишь
f; на рысях at a trot
g sg рюкзака
i сушу, сушишь
m
g pl катушек
g sg китайца
g pl плавок
поваренная книга cookery book
дом для престарелых old people’s home
no pl
f
nom pl щепы, g pl щеп, d pl щепам
nom pl ягнята, g pl ягнят
g sg боба
g pl булавок
всемерная помощь all possible assistance
f
женское чутьё female intuition
p прослежусь, прослезишься
nom pl скулы
g pl шор
в бабушкином доме in grandmother’s house
f
p извещу, известишь
g sg калача; тёртый калач old hand
g pl кличек
g pl кочек
=курица
i леплю, лепишь; вы-, с- р
i
i познаю, познаёшь
p приостановлюсь, приостановишься
сношения dealings, relations
g pl упряжек
ходовые мнения popular opinions
f
g pl беседок
g pl брошек
i варьирую
i
i дивлюсь, дивишься
nom pl желоба
романтическая жилка romantic streak
nom pl катера
g sg тюка
до отвала to satiety
по истечении +g on the expiry of, after
g pl лепёшек
g sg лесника
g pl машинисток
осыпа́ть/осы́пать; p осы́плю, осы́плешь
nom pl пёрышки, g pl пёрышек
g pl приписок
i рисуюсь
g pl рукояток
g sg серпа
f
g pl собачонок
g pl струек
pr sg в сыре/в сыру, nom pl сыры
g pl угодий; полевые угодья arable land; охотничьи угодья hunting grounds
g pl кастрюль
m
g pl кишок
m; g sg кобеля
Он сообщил кое-какие новости He gave us certain items of news
коммерческий магазин privately-owned shop
i колочу, колотишь
g pl колючек
m pl; g pl коньков
g sg коньяка
(i/p) координирую
i
nom pl копья, g pl копий
коммунальная квартира communal flat (shared by several families)
i крадусь, крадёшься, past крался, кралась
i кружу, кружишь
m pl; g pl курсов
f
g pl ловeль; рыбная ловля fishing
g pl люлек
f
f мамина, n мамино
одним махом at one stroke
f
i мечу, мечешь
i/p механизирую
pr sg во мху
g sg муравья, g pl муравьёв
f
i мычу, мычишь
g pl надстроек
наличные деньги cash; наличный расчёт cash payment
p насажу, насадишь
населённый пункт locality, place
испугать насмерть to frighten to death
p натяну, натянешь
невесть почему God knows why
f
непременное условие sine qua non
g pl ноток; нотка недоверия note of distrust
p обложу, обложишь
p обложу, обложишь
p обнимусь, обнимешься, pl past обнялись
p обогащусь, обогатишься
g pl обоев
i обороняюсь
p оброню, обронишь; no i; обронить замечание to let fall a remark, comment
g pl оков
p опережу, опередишь
f
p ослабею, ослабеешь; слабеть/ослабевать i
p оснащу, оснастишь
p остригу, острижёшь, остригут, past остриг, остригла; стричь i/ остригать i
p отбуду, отбудешь, f past отбыла
p отвалю, отвалишь
p переброшу, перебросишь
p перекрою, перекроешь
i переношусь, переносишься
p переступлю, переступишь
i пилю, пилишь
f
i подавляю; подавить
p подопру, подопрёшь, past подпёр, подпёрла
i подставляю; p подставлю, подставишь
p пожертвую
p помашу, помашешь
g pl пометок
попутный ветер favourable wind
p порадую
p порадуюсь
p постигну, постигнешь, past постиг, постигла
p потолкую
g pl похорон, d pl похоронам
Почём виноград? How much are the grapes?
i препятствую
p пригляжусь, приглядишься
p прихвачу, прихватишь
i причиняю
p пробужу, пробудишь; будить i/пробуждать i
p пробуду, пробудешь, past пробыл, пробыла, пробыло
продовольственный магазин food shop
f
f
p пролезу, пролезешь, past пролез, пролезла
p променяю
полноценная пища proper food
i противопоставляю; p противопоставлю, противопоставишь
g pl пятёрок
p разинуть рот to gape
p разогрею, разогреешь
p разрастётся, past разросся, разрослась
разреза́ть/разре́зать; p разре́жу, разре́жешь
разъезды travels
also распроститься р
(i/p) реконструирую
сталинские репрессии Stalin’s purges
g sg родника
реагирую; про-/от- р
g pl самок
p свергну, свергнешь, past сверг, свергла
i В июне светает рано It gets light early in June
p сдержусь, сдержишься
nom pl свитера
f
g sg сибиряка
сквозной ветер draught; сквозной поезд through train
g pl склянок
g pl сковородок; dim of сковорода frying pan
p скопится
g pl скороговорок; говорить скороговоркой to gabble
i славлюсь, славишься
p смою, смоешь
p снимусь, снимешься, past снялся, снялась
g pl собачек
g sg сорняка
i/p
m
сущая правда the honest truth
g sg сюртука
g pl табличек
танковый полк tank regiment
nom pl телята, g pl телят
Он толком ничего не сделает Не won’t do anything properly
p удеру, удерёшь, f past удрала
p управлюсь, управишься
p условлюсь; условишься
p услышу, услышишь
p ухвачу, ухватишь
фактическое признание de facto recognition
i формирую
f
m; g sg червя, nom pl черви, g pl червей
g sg шалаша
g pl щёлок
g sg щита
m; g sg янтаря
pr sg в аду
m; g sg алтаря
ассигнования на народное образование funding for education
f
бездна дел a huge number of things to do
pl; g pl белил
i берегусь, бережёшься, берегутся, past берёгся, береглась
исчезнуть бесследно to vanish without trace
g sg блиндажа
g sg богача
i бомблю, бомбишь
бро́ня
броня́
g pl будок
g sg винта
собрать воедино to bring together
вожака
возвышенный стиль elevated style
g sg вола
вопиющее безобразие absolute disgrace
g восьмисот
входная плата entrance fee
p выгружу, выгрузишь
i выдаюсь, выдаёшься
p выздоровею, выздоровеешь
i гну, гнёшь
ни к чему не годный worthless
g pl горлышек
i грожусь, грозишься
i грохочу, грохочешь
nom pl гряды, d pl грядам
g pl грядок
no pl
p доверяться
i дохнет, past дох, дохла
p дохну, дохнёшь
g pl дощечек
g pl доярок
f
nom pl дуги
g pl дудок; (coll) Дудки! Not likely! No way!
жалобная книга complaints book
p забормочу, забормочешь
p заброшу, забросишь
i/p
p past заглох, заглохла
p загоняю
загробный мир the next world
pr sg на заду, nom pl зады
задолго до конца long before the end
p закипит
g pl закладок
p заночую
p запасусь, запасёшься, past запасся, запаслась
p засяду, засядешь, past засел, засела
p затаить дыхание to hold one’s breath
i затрудняю
g pl затяжек
i зеленеет
i/p констатирую
f
i зрею, зреешь
p изобью, изобьёшь
g pl именин
военная истерия war hysteria
g pl каморок
i каюсь, каешься
кипа бумаг pile of papers
g sg кита
кирпичная кладка bricklaying
no pl
nom pl колесики, g pl колесиков
nom pl колечки, g pl колечек
f
i кормлюсь, кормишься
i кривляюсь
also кружева pl
g pl кудрей
n indecl
i лажу, ладишь
m/f; g pl лебедей
g sg ледника
g pl лесенок
i лижу, лижешь
nom pl лисы
i
налоговые льготы tax relief
f медвежья, п медвежье; медвежья услуга dubious benefit
= между
i мёрзну, мёрзнешь; past мёрз, мёрзла
из- р; по-/при- р
i
pr sg в меху; nom pl меха
m; g sg миндаля
no g pl
g sg мудреца
i мчу, мчишь
g pl надбавок
i населяю
= навсегда
сон наяву daydream
f
= чем
Некого спросить There’s no-one to ask
Ей не с кем играть She has no-one to play with
short forms неправ m, неправа f, неправы pl
g pl ножниц
nom pl норы, g pl нор, d pl норам
i обвожу, обводишь
m
p обосную, обоснуешь
i обостряю
p обую, обуешь
крестьянская община peasant commune (hist); о́бщи́на [either stress]
f
m
одиночный образ жизни solitary lifestyle
оказание помощи assisting
i/p оккупирую
i/p ориентируюсь
p осведомлюсь, осведомишься
печатать/отпечатывать i
p отрекусь, отречёшься, отрекутся, past отрёкся, отреклась
p отрублю, отрубишь
f
p перегоню, перегонишь
p перепишу, перепишешь
i переставляю
i пру, прёшь, past пёр, пёрла
обед на десять персон dinner for ten
f
g pl плясок
g pl повадок
g pl повозок
подача топлива fuel supply; подача помощи assistance
p подброшу, подбросишь
подъёмный кран crane; подъёмный мост drawbridge
p пожую, пожуёшь
p пожгу, пожжёшь, пожгут, past пожёг, пожгла
f помещичья, п помещичье
p понижу, понизишь
i потребляю
i пребывать у власти to be in power
m
припадок гнева fit of anger
m pl; g pl припасов
i присягать в верности to swear an oath of loyalty
пробел в знаниях gap in one’s knowledge
p пробью, пробьёшь
p прогремлю, прогремишь
p прогуляюсь
p продемонстрирую;
p прозову, прозовёшь, f past прозвала
i пропагандирую
p просплю, проспишь, f past проспала
p простужусь, простудишься; простуживаться i or простужаться i
p протянусь, протянешься
no p
nom pl пчёлы
g pl пьянок
nom pl пяты, g pl пят, d pl пятам
p разбегусь, разбежишься, разбегутся
разведывательная служба intelligence service
p развешу, развесишь;развесить бельё to hang out the washing
p разгоню, разгонишь, f past разогнала
p раскушу, раскусишь
p распоряжусь, распорядишься
рассыпа́ться/рассы́паться; p рассыплю, рассыплешь
f
f ребячья, п ребячье
nom pl решёта; Чудеса в решете! Incredible!
рыночная экономика market economy
p сберегу, сбережёшь, сберегут, past сберёг, сберегла
p свешу, свесишь
серийное производство mass production
g sg синяка
f; g pl скорбей
f
i шлю, шлёшь
для красного словца for effect
m; nom pl слуги
смешки jeers, jokes
p снаряжу, снарядишь
i совершенствуюсь
p сооружу, соорудишь
p сопоставлю, сопоставишь
i сопутствую
составление словаря compilation of a dictionary
g pl сосулек
среза́ть/сре́зать; p срежу, срежешь
g pl стачек
i странствую
стрелковый тир rifle range
g pl стружек
g pl стычек
nom pl сукна, g pl сукон
m; g sg сухаря
g sg тайника
g pl тётушек
nom pl (formal) токари, nom pl (coll) токаря
i торжествую
g pl турок
f
i уклоняюсь; уклоняться от ответа to dodge a question, avoid answering
i укреплюсь, укрепишься
универсальный магазин department store
p усею, усеешь
g sg утюга
nom pl цыгане, g pl цыган
f
g четырёхсот
g pl чисток
g pl шахмат
g pl шишек
i шляюсь
f
поm pl щенки, g pl щенков or nom pl щенята, g pl щенят
g pl ярмарок
m
g pl бабочек
g sg багажа
nom pl бёдра, g pl бёдер
i бездействую
g sg бинта
nom pl блохи, g pl блох, d pl блохам
f
m
g pl вилок
p водружу, водрузишь
p воздержусь, воздержишься
i воняет
воочию убедиться в +pr to see for os
nom pl вороха; ворох сена pile of hay; ворох новостей heaps of news
g pl вышек
f
i гнию, гниёшь, f past гнила
g sg горба, pr sg на горбу
f
f
m pl; g pl духов
g sg ежа
pr sg в жиру, nom pl жиры
g sg займа
окончить институт заочно to take an external degree
f
изрядное количество quite a lot
i злоупотребляю
m/f
g sg камыша
soft adj
i клюю, клюёшь; клевать носом to nod, be drowsy
m; g pl когтей
g sg кутежа
g pl лазеек
g pl ласточек
i ликую
i льщу, льстишь
i мажу, мажешь
g sg маяка
f
i мету, метёшь, past мёл, мела
g pl мисок
f
g sg мятежа
выучить наизусть to learn by heart
наперекор судьбе in defiance of fate
g pl невесток
g pl неполадок; неполадки (coll) quarrel
неурядицы squabbling
f ничья, n ничьё; ничья drawn game; ничья земля no man’s land
тихий нрав quiet nature; нравы manners, customs
i ною, ноешь
p обуздаю
m
В тихом омуте черти водятся Still waters run deep
g pl опилок
f
p легко отделаться to get off lightly
i отравляю
p ошеломлю, ошеломишь
f
g pl пелёнок
g pl передышек
m
pr sg в/на пиру, nom pl пиры
i пищу, пищишь
i плещу, плещешь
f
p побужу, побудишь
i покоряю
g/d/inst/pr полутораста
g pl поместий
i поощряю
с грехом пополам after а fashion, only just
nom pl поросята, g pl поросят
i поставляю
быть с похмелья to have а hangover
f
православная церковь Orthodox Church
f
пресная вода fresh water
g sg пруда, pr sg в пруду
pr sg в пуху
pr sg в пылу
разительное сходство striking similarity
разрозненный комплект broken set; разрозненные выстрелы isolated shots
раскат грома rumble of thunder; раскаты хохота loud peals of laughter
голос рассудка the voice of reason; лишиться рассудка to go out of one’s mind
no i
f
g pl селёдок; dim of сельдь f herring
g sg сквозняка
nom pl скорлупы; яичная скорлупа eggshell
i слыву, слывёшь; Он слывёт чудаком Не is considered eccentric
also in the form слюни pl, g pl слюней
смежные комнаты adjoining rooms
p сомну, сомнёшь
i сную, снуёшь
Необходимо иметь сноровку You have to have the knack
g sg соловья, g pl Соловьёв
f pl; nom sg сплетня; g pl сплетен
производственный стаж industrial experience
p сшибу, сшибёшь, past сшиб, сшибла; сшибить кого-нибудь с ног to knock s.o. off their feet
pr sg в тазу or в тазе, nom pl тазы
i тлеет
no pl
по вашему усмотрению as you think best
g pl утечек
i ухмыляюсь
g pl хлопьев
i чешу, чешешь
i чту, чтишь
i шаркать ногами to shuffle one’s feet
g sg шнура
m; nom pl штабеля
i щекочу, щекочешь
g pl электричек
g pl этажерок
ярый поклонник fervent admirer
